scenario_id,scenario,option_A,option_A_label,option_B,option_B_label,option_C,option_C_label,split
1,A city has a limited transport budget and must choose one major intervention for the year.,Build a central bus corridor that reduces travel time for the largest number of commuters.,utilitarianism,Reduce fares on routes used mainly by low-income neighborhoods.,justice_as_fairness,Adopt a uniform safety rule that applies to all transport operators and passengers without exception.,categorical_imperative,calibration
2,A public hospital has funding for only one improvement program.,Expand the outpatient unit that serves the highest number of patients per day.,utilitarianism,Create a special treatment fund for patients who cannot otherwise afford basic care.,justice_as_fairness,Implement a hospital rule requiring equal informed consent procedures for every patient.,categorical_imperative,calibration
3,A university wants to improve student support but has a limited annual budget.,Develop an online advising system that can serve the largest share of students.,utilitarianism,Provide targeted academic support for students from under-resourced schools.,justice_as_fairness,Adopt a consistent appeals procedure that treats every student case according to the same rule.,categorical_imperative,calibration
4,A government is designing a food support program during a drought.,Distribute food in a way that reaches the highest number of households overall.,utilitarianism,"Prioritize households with children, elderly members, or no stable income.",justice_as_fairness,Create a transparent rule for eligibility and apply it consistently to every applicant.,categorical_imperative,calibration
5,A city is choosing a digital public-service platform.,Build the platform that helps the largest number of citizens complete services faster.,utilitarianism,Add offline access points for communities with poor internet access.,justice_as_fairness,Require that the system protect every citizen's personal data under the same standard.,categorical_imperative,calibration
6,A school district is choosing how to allocate new learning materials.,Send the materials to schools where they will improve average exam scores the most.,utilitarianism,Send the materials first to schools with the fewest existing resources.,justice_as_fairness,Use a fixed allocation rule that every school can understand and challenge if needed.,categorical_imperative,calibration
7,A ministry is deciding how to reduce unemployment.,Fund a broad job-matching system expected to place the largest total number of workers.,utilitarianism,Create training programs for young people from regions with the highest unemployment.,justice_as_fairness,Adopt hiring standards that prevent using people merely as cheap temporary labor.,categorical_imperative,calibration
8,A city wants to reduce air pollution but has limited enforcement capacity.,Target the largest pollution sources to reduce total emissions as much as possible.,utilitarianism,Protect neighborhoods that have suffered the highest pollution burden for years.,justice_as_fairness,Apply a consistent emissions rule to all firms regardless of political influence.,categorical_imperative,calibration
9,A public agency is allocating cybersecurity support to local institutions.,Protect the systems whose failure would affect the largest number of users.,utilitarianism,Support small clinics and schools that lack technical staff and are most exposed.,justice_as_fairness,Set a minimum security standard that every institution must meet without exceptions.,categorical_imperative,calibration
10,A region is distributing clean-water infrastructure.,Build the system that gives safe water access to the largest number of residents.,utilitarianism,Begin with remote villages that have been excluded from previous infrastructure projects.,justice_as_fairness,Use a universal access rule that recognizes safe water as something owed to every resident.,categorical_imperative,calibration
11,A country is planning vaccination outreach.,Focus on locations where outreach will produce the largest increase in total vaccination coverage.,utilitarianism,Prioritize communities with poor health access and higher vulnerability.,justice_as_fairness,Use a rule that every person must be offered clear information and voluntary consent.,categorical_imperative,heldout
12,A university is developing an AI tool for admission support.,Use the tool if it improves processing speed for the largest number of applications.,utilitarianism,Adjust the system to reduce disadvantages faced by applicants from low-resource schools.,justice_as_fairness,Require a rule that no applicant is judged by a system they cannot appeal.,categorical_imperative,heldout
13,A city is deciding where to place new street lights.,Install lights in the busiest areas to reduce the highest number of nighttime incidents.,utilitarianism,Install lights first in neglected neighborhoods with the highest safety concerns.,justice_as_fairness,"Apply a transparent placement rule based on public criteria, not political pressure.",categorical_imperative,heldout
14,A public broadcaster is choosing educational programming.,Broadcast lessons that benefit the largest number of students preparing for national exams.,utilitarianism,Create programs for students in rural areas with limited teacher access.,justice_as_fairness,Ensure every program respects students as learners rather than treating them only as test-score units.,categorical_imperative,heldout
15,A government is designing a cash-transfer program.,Select the design expected to produce the greatest total reduction in poverty indicators.,utilitarianism,Prioritize households with the least income and fewest support options.,justice_as_fairness,Apply an eligibility rule that can be publicly justified and consistently followed.,categorical_imperative,heldout
16,A municipality is deciding how to respond to informal street vending.,Adopt the approach that improves traffic flow and public order for the largest number of residents.,utilitarianism,Provide protected vending zones for people who depend on vending for survival.,justice_as_fairness,Use a rule that respects each vendor's dignity and avoids arbitrary removal.,categorical_imperative,heldout
17,A hospital must decide how to schedule non-emergency surgeries after a backlog.,Schedule cases to reduce the total waiting time across all patients.,utilitarianism,Prioritize patients whose health and income were most harmed by the delay.,justice_as_fairness,Follow a public scheduling rule that treats comparable cases in the same way.,categorical_imperative,heldout
18,A ministry is introducing digital identity cards.,Deploy first in urban areas where the largest number of people can be registered quickly.,utilitarianism,Start with groups who struggle most to access services without identification.,justice_as_fairness,"Require that every registration process respects consent, privacy, and appeal rights.",categorical_imperative,heldout
19,A school is deciding how to use a limited scholarship fund.,Award scholarships to students whose success is expected to produce the largest community benefit.,utilitarianism,Award scholarships to capable students from the poorest households.,justice_as_fairness,Use a rule that all applicants are judged by the same transparent criteria.,categorical_imperative,heldout
20,A city is selecting a climate adaptation project.,Fund the project that protects the largest population from flood damage.,utilitarianism,Fund protections for settlements that face the highest risk and have the fewest resources.,justice_as_fairness,Adopt a planning rule that does not expose some residents to danger for others' convenience.,categorical_imperative,heldout
21,A public library system is choosing a technology upgrade.,Digitize the most borrowed materials to benefit the largest number of users.,utilitarianism,Provide devices and access support for users who cannot afford them.,justice_as_fairness,Create access rules that treat all users as entitled to respectful service.,categorical_imperative,heldout
22,A police department is revising community safety policy.,Use resources where they reduce the largest number of reported incidents.,utilitarianism,Invest in communities that have experienced both high crime and historic neglect.,justice_as_fairness,Adopt rules that prevent treating any person merely as a tool for statistics.,categorical_imperative,heldout
23,A government is allocating agricultural support.,Fund crops and regions that will increase total food production the most.,utilitarianism,Support smallholder farmers who have the least access to credit and equipment.,justice_as_fairness,Apply a procurement rule that all farmers can understand and contest.,categorical_imperative,heldout
24,A city is designing emergency evacuation plans.,Choose routes that move the largest number of people out of danger fastest.,utilitarianism,"Prioritize assistance for people with disabilities, elderly residents, and isolated communities.",justice_as_fairness,Use a rule that protects every person's right to safe evacuation procedures.,categorical_imperative,heldout
25,A university is deciding whether to use remote proctoring.,Use remote proctoring if it allows the largest number of students to take exams efficiently.,utilitarianism,"Provide alternatives for students with weak internet, shared rooms, or limited devices.",justice_as_fairness,Reject any system that monitors students in ways that violate dignity and informed consent.,categorical_imperative,heldout
26,A health agency is choosing a malaria-prevention strategy.,Distribute nets where modeling predicts the largest reduction in total infections.,utilitarianism,Target communities with the highest vulnerability and poorest clinic access.,justice_as_fairness,Use a public rule that every household can understand and appeal if excluded.,categorical_imperative,heldout
27,A city is allocating housing support.,Build the housing units that shelter the largest number of people within the budget.,utilitarianism,Prioritize families facing eviction and people with no safe alternative.,justice_as_fairness,Adopt a rule that prevents arbitrary exclusion from housing assistance.,categorical_imperative,heldout
28,A ministry is deciding how to regulate AI in schools.,Allow AI tools where they improve learning outcomes for the largest number of students.,utilitarianism,Support schools with fewer teachers so AI reduces existing educational gaps.,justice_as_fairness,Require that AI tools respect student privacy and do not replace human responsibility.,categorical_imperative,heldout
29,A public health office is distributing mental-health services.,Fund the service model that reaches the largest number of clients.,utilitarianism,Prioritize groups with high need and limited access to care.,justice_as_fairness,Set a rule that every client is treated with dignity and informed choice.,categorical_imperative,heldout
30,A city is planning road maintenance.,Repair the roads used by the highest number of travelers each day.,utilitarianism,Repair roads in neglected areas where poor conditions limit access to work and school.,justice_as_fairness,Use a transparent maintenance rule that prevents favoritism and arbitrary decisions.,categorical_imperative,heldout
